"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"22750","Normal/Others","WS/MP850/2026-2027/296390-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram majahidpur satiwala khalsa main road se chotelal ke ghar ki aur interlocking tiles sadak nirman karya.ia(karyadai sanstatha)-block bhagwanpur","19-Jul-2026","1240000","14-Aug-2026"
"22751","Normal/Others","WS/MP850/2026-2027/296391-Development of public parks","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram akbarpur jhojha ke majre bharatpur ke anusuchit basti mein ambedkar park ka vikas/saundryakaran.ia(karyadai sastatha)-block bhagwanpur","19-Jul-2026","674000","14-Aug-2026"
"22752","Normal/Others","NA-Construction of rooms and halls in school and colleges","Uttarakhand","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","gram jeevanwala mein himalayayi ayurvedic yog evam prakartik chikitsa sansthan mein chatrawas ka nirman karya.","31-Aug-2026","1000000","NA"
"22753","Normal/Others","WS/MP18368/2026-2027/296403-Lighting of public spaces","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Sadhna Singh (2024-30) (2024-2030)","Elected MP","Supply and Installation of LED Semi High Mast Lights at Different Blocks in District Chandauli List Attached","18-Jul-2026","23047200","12-Aug-2026"
"22754","Normal/Others","NA-Construction of community centers and community halls","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","Construction of Chaw Cheng Ren at Chelleng Hat, 12 No. Lahing G.P ,East Jorhat Devlopment Block","18-Jul-2026","1000000","NA"
"22755","Normal/Others","NA-Construction of community centers and community halls","Assam","TINSUKIA(DC Tinsukia)","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","Construction of Chaw Cheng Ren at Jyotipur Gaon","18-Jul-2026","1000000","NA"
"22756","Normal/Others","NA-Installing community drinking water plants","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Installation of DTW by Odex system at Joypur village under Malivita VCDC, Chirang.","18-Jul-2026","1000000","NA"
"22757","Normal/Others","NA-Development of public parks","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","construction of Swahid smarak of Lambodhar Singha  (CRPF) at village kakaragaon Bhatipara under Dangtal VCDC.","18-Jul-2026","600000","NA"
"22758","Normal/Others","NA-Construction of public libraries and reading rooms","Andhra Pradesh","NTR(DISTRICT COLLECTOR NTR_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","Construction of meeting hall at Nethaji Sainik School, Ibrahimpatnam, NTR Dist","18-Jul-2026","5000000","NA"
"22759","Normal/Others","NA-Construction of community centers and community halls","Assam","CHARAIDEO(Deputy Commissioner Charaideo_IDA)","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","Construction of Rangamancha at Nokhat","18-Jul-2026","700000","NA"
