"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"9665","Normal/Others","WS/MP18427/2025-2026/190355-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","Providing CC Road and CC Drain Opp Vinayaka Swamy Temple road from H.No.8 257 1 1 , 43 259 3 4 2, 43 259 18 2 6 to Ravi House Industrial Estate at Prakash Nagar of 14th Division of KMC","09-Apr-2025","16-Apr-2025","1996464","Physical Inspection"
"9666","Normal/Others","WS/MP18427/2025-2026/190356-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","Providing CC Road from Door no 43 259 18 10 to 43 259 18 , Prakash Nagar at 14 th Division Kadapa","09-Apr-2025","24-May-2025","996222","Physical Inspection"
"9667","Normal/Others","WS/MP18427/2025-2026/190357-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","Providing CC Road from Door no 43 259 10 to Gokul Classic Apartments , Industrial estate, Prakash Nagar at 14 th Division Kadapa","09-Apr-2025","24-May-2025","996718","Physical Inspection"
"9668","Normal/Others","WS/MP18427/2025-2026/190358-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","Providing CC Road from Door no 43 259 7 to 43 259 4 , Industrial estate,Prakash Nagar at 14 th Division Kadapa","09-Apr-2025","24-May-2025","996120","Physical Inspection"
"9669","Normal/Others","WS/MP18427/2025-2026/190359-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","Providing CC Road from Door no 43 259 4 1 to 43 259 16 1 , Industrial estate, Prakash Nagar at 14 th Division Kadapa","09-Apr-2025","24-May-2025","996772","Physical Inspection"
"9670","Normal/Others","WS/MP18427/2025-2026/190360-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","Providing CC Road from Door no 43 259 4 3 to Vinayaka Swamy Temple , Industrial estate, Prakash Nagar at 14 th Division Kadapa","09-Apr-2025","24-May-2025","997369","Physical Inspection"
"9671","Normal/Others","WS/MP18304/2025-2026/190404-Construction of community centers and community halls","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of community hall from lagga","11-Apr-2025","04-Oct-2025","200000","Vendor Identification"
"9672","Normal/Others","WS/MP18304/2025-2026/190405-Construction of bus-sheds or bus-stops","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of bus shed Near Main road Dhar","11-Apr-2025","02-May-2025","200000","Work Completed"
"9673","Normal/Others","WS/MP18304/2025-2026/190406-Construction of footpaths and pedestrian ways","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Footpath and pedestrian ways Faati to Likhruien","11-Apr-2025","02-May-2025","100000","Physical Inspection"
"9674","Normal/Others","WS/MP18304/2025-2026/190407-Construction of footpaths and pedestrian ways","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Footpath and pedestrian ways Kauu to GPS Gagla","11-Apr-2025","02-May-2025","100000","Physical Inspection"
