"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"9619","Normal/Others","WS/MP182/2025-2026/190036-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","ward number 07 shamser nagar me nandapar ninathapa marg se Gyanendra Sahni road se lagi galiyon me CC road avam nali ka nirman 252 meter","09-Apr-2025","15-Apr-2025","2636521","Physical Inspection"
"9620","Normal/Others","WS/MP18403/2025-2026/190051-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","Construction of paver block in panchal vas area","08-Apr-2025","01-Jul-2025","200000","Physical Inspection"
"9621","Normal/Others","WS/MP106/2026-2027/190060-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Siluwa, Gram Panchayat Siluwa (Padariya) Janpad Panchayat Jabalpur main Hanuman Mandir se Bhatta ki aur 625 meter CC Road nirman, District Jabalpur","08-Apr-2025","14-Apr-2026","770000","Vendor Identification"
"9622","Normal/Others","WS/MP891/2026-2027/190082-Construction of common work sheds/ common covered sitting area","Gujarat","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","morbi taluka na panchasar game ugamana jampana ni same sarvajanik hetu mate artisans sed banavavaanu kam","08-Apr-2025","07-Aug-2026","2611000","Sanction"
"9623","Normal/Others","WS/MP139/2025-2026/190119-Setting up of laboratories","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of new laboratory block at Women Engineering College in Lawspet constituency Puducherry","09-Apr-2025","13-Sep-2025","11810000","Work partially Completed"
"9624","Normal/Others","WS/MP18304/2025-2026/190122-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of Pacca Path From Badangi to ghs Tarale","11-Apr-2025","02-May-2025","200000","Work Completed"
"9625","Normal/Others","WS/MP099/2025-2026/190123-Lighting of public spaces","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Purchase and installation of one Mini Mast Light in front of Nedungome Government Higher Secondary School (adjacent to the School Gate), Sreekandapuram Municipality, Ward 17, Kannur District","09-Apr-2025","14-Jan-2026","175000","Physical Inspection"
"9626","Normal/Others","WS/MP099/2026-2027/190124-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of a roof over the central courtyard of the Higher Secondary Block at Tagore Vidyaniketan Government Higher Secondary School, Rabeendrapuram, Thaliparamba Municipality, Thaliparamba Village, Kannur District","09-Apr-2025","06-Aug-2026","1200000","Sanction"
"9627","Normal/Others","WS/MP099/2025-2026/190133-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Purchase and distribution of one motorized tricycle to eligible person with permanent disability due to traumatic paraplegia residing in Ward No. 20, Thimiri Village, Thaliparamba Taluk, Kannur District","25-Apr-2025","13-Feb-2026","120000","Sanction"
"9628","Normal/Others","WS/MP099/2025-2026/190136-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Purchase and distribution of one electronic wheel chair to eligible person with permanent disability due to traumatic paraplegia residing in Ward No. 12, New Naduvil Village, Thaliparamba Taluk, Kannur District","25-Apr-2025","13-Feb-2026","150000","Sanction"
