"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2626","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268766","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","28-May-2026","GPS KULGARI","Payment Success","100000"
"2627","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268767","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS LALLE Ghall khurd block","Payment Success","100000"
"2628","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268768","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS THETHAR KALAN","Payment Success","100000"
"2629","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268770","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS SADHU WALA","Payment Success","100000"
"2630","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268771","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GPS MASHI BUGRA","Payment Success","100000"
"2631","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268772","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS SULHANI","Payment Success","100000"
"2632","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268774","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GPS LOHAM","Payment Success","100000"
"2633","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268773","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","27-May-2026","GPS GHALL KHURAD","Payment Success","100000"
"2634","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268775","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GMS SULHANI","Payment Success","100000"
"2635","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268776","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","25-Mar-2026","GMS THETHAR KALAN","Payment Success","100000"
"2636","Punjab","Purchase of smart boards, visual display units and projectors","WS/MP235/2025-2026/268837","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","04-Apr-2026","GMS RATTA KHRA","Payment Success","100000"
