"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2720","Punjab","Creation of new ponds","WS/MP235/2025-2026/274836","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Sarabjeet Singh","Payment Success","30000"
"2721","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/232236","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","23-Jun-2026","GOLU ENTERPRISES Abhishek kumar","Payment Success","495671"
"2722","Punjab","Purchase of hospital equipment","WS/MP141/2025-2026/246895","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","21-Apr-2026","Life Care","Payment Success","1980000"
"2723","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/274835","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","07-Apr-2026","Sukhchain Singh","Payment Success","100000"
"2724","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18407/2025-2026/236729","GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","09-Apr-2026","Maa Laxmi Traders Deepraj kumar","Payment Success","397567"
"2725","Himachal Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18304/2025-2026/156158","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","06-Apr-2026","Heptanova Corporation","Payment Success","149980"
"2726","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP18316/2026-2027/266960","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","08-Apr-2026","Sharda Vihar Jan Kalyan samiti","Payment Success","420000"
"2727","Odisha","Renovation of ponds and lakes","WS/MP138/2025-2026/213908","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","07-Aug-2026","MS SANTOSHI TRADERS","Payment Success","250000"
"2728","Odisha","Renovation of ponds and lakes","WS/MP138/2025-2026/213909","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","07-Aug-2026","MS SANTOSHI TRADERS","Payment Success","250000"
"2729","Tamil Nadu","Construction of community centers and community halls","WS/MP166/2025-2026/218140","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","08-Apr-2026","N SOUNDARARAJAN","Payment Success","1500000"
